SSD,d,P,delta
1,2,2,1
1,2,4,2
1,3,7,3
1,1,8,1
1,8,16,3
1,12,28,4
1,23,51,7
1,44,95,11
1,79,174,13
1,158,332,23
1,304,636,42
1,585,1221,57
1,1126,2347,63
1,2252,4599,115
1,4425,9024,217
1,8692,17716,411
1,17080,34796,495
1,33575,68371,363
1,67150,135521,669
1,133174,268695,1275
1,264096,532791,2435
1,523767,1056558,4653
1,1038842,2095400,397
1,2060604,4156004,-16697
1,4121208,8277212,-33889
1,8208841,16486053,-68141
1,16350532,32836585,-136951
