SSD,d,P,delta
1,1,1,0
1,1,2,0
1,2,4,0
1,9,13,6
1,6,19,6
1,6,25,1
1,23,48,4
1,44,92,8
1,82,174,13
1,155,329,20
1,310,639,45
1,591,1230,66
1,1182,2412,128
1,2320,4732,248
1,4558,9290,483
1,8961,18251,946
1,17612,35863,1562
1,35534,71397,3389
1,70167,141564,6712
1,139152,280716,13296
1,275984,556700,26344
1,547410,1104110,52205
1,1094820,2198930,103927
1,2180679,4379609,206908
1,4343746,8723355,412254
1,8651958,17375313,821119
1,17233749,34609062,1635526
