SSD,d,P,delta
1,8,8,7
1,2,10,8
1,1,11,7
1,1,12,5
1,4,16,3
1,16,32,8
1,22,54,10
1,43,97,13
1,86,183,22
1,151,334,25
1,302,636,42
1,582,1218,54
1,1121,2339,55
1,2156,4495,11
1,4312,8807,0
1,8473,17280,-25
1,16644,33924,-377
1,32706,66630,-1378
1,64291,130921,-3931
1,128582,259503,-7917
1,255008,514511,-15845
1,505704,1020215,-31690
1,1002935,2023150,-71853
1,1989226,4012376,-160325
1,3945746,7958122,-352979
1,7891492,15849614,-704580
1,15718693,31568307,-1405229
