SSD,d,P,delta
1,1,1,0
1,1,2,0
1,2,4,0
1,3,7,0
1,6,13,0
1,11,24,0
1,20,44,0
1,40,84,0
1,77,161,0
1,148,309,0
1,285,594,0
1,570,1164,0
1,1120,2284,0
1,2200,4484,0
1,4323,8807,0
1,8498,17305,0
1,16996,34301,0
1,33707,68008,0
1,66844,134852,0
1,132568,267420,0
1,262936,530356,0
1,521549,1051905,0
1,1043098,2095003,0
1,2077698,4172701,0
1,4138400,8311101,0
