SSD,d,P,delta
1,32,32,31
1,8,40,38
1,2,42,38
1,1,43,36
1,1,44,31
1,4,48,24
1,16,64,20
1,64,128,44
1,86,214,53
1,171,385,76
1,342,727,133
1,599,1326,162
1,1198,2524,240
1,2310,4834,350
1,4449,9283,476
1,8556,17839,534
1,17112,34951,650
1,33625,68576,568
1,66052,134628,-224
1,129794,264422,-2998
1,255139,519561,-10795
1,510278,1029839,-22066
1,1012000,2041839,-53164
1,2006888,4048727,-123974
1,3980151,8028878,-282223
